只爱原味心心心我是莉莉我爱魏晨呆阿呆是真汉子啊巴扎嘿原味最好吃橘子是橘不是菊薯片擼包包害羞看誰誰都是薯片擼包包我喜歡你這口味宅腐集中营自觉举手	“擼包”不是一个命名实体
#双皮奶做法#简单4招教你做双皮奶。好吃，营养又不发胖。在家自制的安全卫生最放心。MM们快来学学吧~	“放心”不是一个命名实体
新版Weico微博客户端不错。推荐一个http://t.cn/zYhbbAW	“一个”不是一个命名实体
喜欢中国好声音里张赫宣以及卓义峰演唱的无言，很偏爱这种声音沙哑的演绎。。。原来它的英文版是，怪不得觉得如此耳熟。	“中国”是一个地缘政治实体名实体
喜欢中国好声音里张赫宣以及卓义峰演唱的无言，很偏爱这种声音沙哑的演绎。。。原来它的英文版是，怪不得觉得如此耳熟。	“张赫宣”是一个人名实体
喜欢中国好声音里张赫宣以及卓义峰演唱的无言，很偏爱这种声音沙哑的演绎。。。原来它的英文版是，怪不得觉得如此耳熟。	“卓义峰”是一个人名实体
喜欢中国好声音里张赫宣以及卓义峰演唱的无言，很偏爱这种声音沙哑的演绎。。。原来它的英文版是，怪不得觉得如此耳熟。	“演唱”不是一个命名实体
喜欢中国好声音里张赫宣以及卓义峰演唱的无言，很偏爱这种声音沙哑的演绎。。。原来它的英文版是，怪不得觉得如此耳熟。	“这种”不是一个命名实体
喜欢中国好声音里张赫宣以及卓义峰演唱的无言，很偏爱这种声音沙哑的演绎。。。原来它的英文版是，怪不得觉得如此耳熟。	“原来”不是一个命名实体
#为林志玲姐姐打气赢手机#有奖转发地址：http://t.cn/8ssjFNz	“林志玲”是一个人名实体
#为林志玲姐姐打气赢手机#有奖转发地址：http://t.cn/8ssjFNz	“奖”不是一个命名实体
对南海杨知明说：补充上问：最多可减免班主任工作年限年我的理解：副高评审班主任年限为年，信息技术等学科可减免，但最起码有年班主任是不是这样的意思？	“南海”是一个地缘政治实体名实体
对南海杨知明说：补充上问：最多可减免班主任工作年限年我的理解：副高评审班主任年限为年，信息技术等学科可减免，但最起码有年班主任是不是这样的意思？	“杨知明”是一个人名实体
对南海杨知明说：补充上问：最多可减免班主任工作年限年我的理解：副高评审班主任年限为年，信息技术等学科可减免，但最起码有年班主任是不是这样的意思？	“最”不是一个命名实体
对南海杨知明说：补充上问：最多可减免班主任工作年限年我的理解：副高评审班主任年限为年，信息技术等学科可减免，但最起码有年班主任是不是这样的意思？	“意思”不是一个命名实体
真服了。。高富帅就是不一样。。玩完还要来簋街吃饭。。。什么时候都饿的人陈雨奇葩的世界你俩事真正的富二代。。。我在	“簋街”是一个地缘政治实体名实体
真服了。。高富帅就是不一样。。玩完还要来簋街吃饭。。。什么时候都饿的人陈雨奇葩的世界你俩事真正的富二代。。。我在	“一样”不是一个命名实体
//@安大略省旅游局微博:#安大略省旅游摄影大赛#转发参赛作品彩虹桥上有彩虹	“安大略省旅游局”是一个组织实体
//@安大略省旅游局微博:#安大略省旅游摄影大赛#转发参赛作品彩虹桥上有彩虹	“安大略省”是一个地缘政治实体名实体
//@安大略省旅游局微博:#安大略省旅游摄影大赛#转发参赛作品彩虹桥上有彩虹	“:”不是一个命名实体
//@安大略省旅游局微博:#安大略省旅游摄影大赛#转发参赛作品彩虹桥上有彩虹	“参赛”不是一个命名实体
[花]【台湾胡椒虾】做法：1、修除草虾尖头部位。2、用牙签挑出虾肠。3、将虾洗净后放入水中备用。4、红辣椒切片。5、青葱切小段状备用。6、乾锅中先放入黑胡椒碎炒香。7、倒入沙拉油、红辣椒和葱白一同炒香。8、虾滤乾水份放加入锅中翻炒。9、倒入米酒去腥，加入葱花再翻炒虾子至熟。	“台湾”是一个地缘政治实体名实体
[花]【台湾胡椒虾】做法：1、修除草虾尖头部位。2、用牙签挑出虾肠。3、将虾洗净后放入水中备用。4、红辣椒切片。5、青葱切小段状备用。6、乾锅中先放入黑胡椒碎炒香。7、倒入沙拉油、红辣椒和葱白一同炒香。8、虾滤乾水份放加入锅中翻炒。9、倒入米酒去腥，加入葱花再翻炒虾子至熟。	“用”不是一个命名实体
是的最爱学做饭处女座吃醋时不爱说话兔子	“说话”不是一个命名实体
@张_潞淼去看咩？//@戴锦和Alex:[酷]SuperCoolRobotvsKaijuTerranvsZerg?	“张_潞淼”是一个人名实体
@张_潞淼去看咩？//@戴锦和Alex:[酷]SuperCoolRobotvsKaijuTerranvsZerg?	“戴锦”是一个人名实体
@张_潞淼去看咩？//@戴锦和Alex:[酷]SuperCoolRobotvsKaijuTerranvsZerg?	“Alex”是一个人名实体
@张_潞淼去看咩？//@戴锦和Alex:[酷]SuperCoolRobotvsKaijuTerranvsZerg?	“张”不是一个命名实体
@张_潞淼去看咩？//@戴锦和Alex:[酷]SuperCoolRobotvsKaijuTerranvsZerg?	“和”不是一个命名实体
@张_潞淼去看咩？//@戴锦和Alex:[酷]SuperCoolRobotvsKaijuTerranvsZerg?	“SuperCoolRobotvsKaijuTerranvsZerg”不是一个命名实体
//@杨澜人生哲学:转发微博	“杨澜”是一个人名实体
//@杨澜人生哲学:转发微博	“人生”不是一个命名实体
[笑哈哈]coco小姐最爱香奈儿香水http://t.cn/a1elzs活动期间【买二送一】[心]机会不多[礼物]亲们赶紧抢购吧!抢购地址》》http://t.cn/8sLhMDw	“coco小姐”是一个人名实体
[笑哈哈]coco小姐最爱香奈儿香水http://t.cn/a1elzs活动期间【买二送一】[心]机会不多[礼物]亲们赶紧抢购吧!抢购地址》》http://t.cn/8sLhMDw	“:”不是一个命名实体
坐公交，车上有一女，上来一男，此男笨手笨脚，将那女的脚踩了一下，女说：有病啊，再踩让你断子绝孙。男说：再骂我让你子孙满堂。内涵图片段子	“有”不是一个命名实体
//@我们爱讲冷笑话：回锅神马的最痛苦了。。。	“@”不是一个命名实体
我参与了华广汽车学院团学实践部发起的投票•第六届汽车文化节之车王争霸赛，我投给了酱油王这个选项。你也快来表态吧：	“华广汽车学院团学实践部”是一个组织实体
我参与了华广汽车学院团学实践部发起的投票•第六届汽车文化节之车王争霸赛，我投给了酱油王这个选项。你也快来表态吧：	“我”不是一个命名实体
土豪朋友去海南还不忘记捎上点特产寄给兄弟我��，何德何能非常感谢，兄弟我会好好享用的～哈哈哈	“海南”是一个地缘政治实体名实体
土豪朋友去海南还不忘记捎上点特产寄给兄弟我��，何德何能非常感谢，兄弟我会好好享用的～哈哈哈	“��”不是一个命名实体
//@体重失控的小胖子:我擦，白色眼镜@眞言joan//@曾丶四小姐:那个记忆力赛过外星人的老师。。[酷]//@汪阿丹:[鼓掌]//@Stella_Lee昕:致敬[鼓掌]@小财神007//@卖萌吃货半夏酱:当年她的课印象太深刻了//@魏民ISA2B:哈哈，军事理论老师！看来，全校都是她教的啊。。。//@豆豆肥和小猪高:集大神捕！我	“Stella_Lee昕”不是一个命名实体
我受不了装傻的人，我是狮子座苏歆我受不了我自己，我是双子座我受不了沒有常識的人，我是水瓶座	“苏歆”是一个人名实体
我受不了装傻的人，我是狮子座苏歆我受不了我自己，我是双子座我受不了沒有常識的人，我是水瓶座	“双子”不是一个命名实体
我愿意成为你们的忠实粉丝。为你们宣传b地址：http://t.cn/8sBXca5	“成为”不是一个命名实体
//@欧美流行最前线:此君才唱了1秒，评选们就疯狂为他转身了，这才是真正的秒杀啊！	“转身”不是一个命名实体
#美丽西子湖，魅力凯悦行#转发此微博，希望有个好运气能好运哦@fr咎岩nku@laisiyuan@pou督仁娟xkhttp://t.cn/RP3UDoo	“西子湖”是一个地名实体
#美丽西子湖，魅力凯悦行#转发此微博，希望有个好运气能好运哦@fr咎岩nku@laisiyuan@pou督仁娟xkhttp://t.cn/RP3UDoo	“@”不是一个命名实体
美得呀〜顾天池苦逼青年杨素晗旻日记肖立伟嘻嘻嘻嘻嘻嘻美啊	“顾天池”是一个人名实体
美得呀〜顾天池苦逼青年杨素晗旻日记肖立伟嘻嘻嘻嘻嘻嘻美啊	“杨素晗”是一个人名实体
美得呀〜顾天池苦逼青年杨素晗旻日记肖立伟嘻嘻嘻嘻嘻嘻美啊	“肖立伟”是一个人名实体
美得呀〜顾天池苦逼青年杨素晗旻日记肖立伟嘻嘻嘻嘻嘻嘻美啊	“美”不是一个命名实体
美得呀〜顾天池苦逼青年杨素晗旻日记肖立伟嘻嘻嘻嘻嘻嘻美啊	“呀”不是一个命名实体
美得呀〜顾天池苦逼青年杨素晗旻日记肖立伟嘻嘻嘻嘻嘻嘻美啊	“顾天池苦”不是一个命名实体
曾若彤璐骑单车的少年要考驾照驰鸣天下苦逼青年杨素晗不屑与你装霄	“曾若彤”是一个人名实体
曾若彤璐骑单车的少年要考驾照驰鸣天下苦逼青年杨素晗不屑与你装霄	“杨素晗”是一个人名实体
曾若彤璐骑单车的少年要考驾照驰鸣天下苦逼青年杨素晗不屑与你装霄	“的”不是一个命名实体
曾若彤璐骑单车的少年要考驾照驰鸣天下苦逼青年杨素晗不屑与你装霄	“与”不是一个命名实体
@红美商城官方微博@红美商城-苏州站@邱邱抹茶@小米子小样@羽墨丶月这个还不错'iphone5求爱国	“红美商城官方微博”是一个组织实体
@红美商城官方微博@红美商城-苏州站@邱邱抹茶@小米子小样@羽墨丶月这个还不错'iphone5求爱国	“红美商城-苏州站”是一个组织实体
@红美商城官方微博@红美商城-苏州站@邱邱抹茶@小米子小样@羽墨丶月这个还不错'iphone5求爱国	“邱邱抹茶”是一个人名实体
@红美商城官方微博@红美商城-苏州站@邱邱抹茶@小米子小样@羽墨丶月这个还不错'iphone5求爱国	“小米子小样”是一个人名实体
@红美商城官方微博@红美商城-苏州站@邱邱抹茶@小米子小样@羽墨丶月这个还不错'iphone5求爱国	“羽墨丶月”是一个人名实体
@红美商城官方微博@红美商城-苏州站@邱邱抹茶@小米子小样@羽墨丶月这个还不错'iphone5求爱国	“iphone5”是一个组织实体
@红美商城官方微博@红美商城-苏州站@邱邱抹茶@小米子小样@羽墨丶月这个还不错'iphone5求爱国	“@”不是一个命名实体
@红美商城官方微博@红美商城-苏州站@邱邱抹茶@小米子小样@羽墨丶月这个还不错'iphone5求爱国	“红”不是一个命名实体
@红美商城官方微博@红美商城-苏州站@邱邱抹茶@小米子小样@羽墨丶月这个还不错'iphone5求爱国	“商城”不是一个命名实体
@红美商城官方微博@红美商城-苏州站@邱邱抹茶@小米子小样@羽墨丶月这个还不错'iphone5求爱国	“@”不是一个命名实体
@红美商城官方微博@红美商城-苏州站@邱邱抹茶@小米子小样@羽墨丶月这个还不错'iphone5求爱国	“小样”不是一个命名实体
@红美商城官方微博@红美商城-苏州站@邱邱抹茶@小米子小样@羽墨丶月这个还不错'iphone5求爱国	“羽墨”不是一个命名实体
关注“国丹官方微信”马上有惊喜更有豪华大礼等你拿路过不错过带走啦...地址：http://t.cn/8sfiZu6	“国丹官方微信”是一个组织实体
关注“国丹官方微信”马上有惊喜更有豪华大礼等你拿路过不错过带走啦...地址：http://t.cn/8sfiZu6	“:”不是一个命名实体
有点小不爽。[奥特曼][奥特曼]	“奥特曼”是一个人名实体
有点小不爽。[奥特曼][奥特曼]	“奥特曼”是一个人名实体
有点小不爽。[奥特曼][奥特曼]	“]”不是一个命名实体
有点小不爽。[奥特曼][奥特曼]	“]”不是一个命名实体
头戴闪亮皇冠，身披精美模板，吼吼~我已经是微博准会员啦[得瑟]！8大金牌特权抢鲜体验，速来围观吧！http://t.cn/zYA0DI0	“微博”是一个组织实体
头戴闪亮皇冠，身披精美模板，吼吼~我已经是微博准会员啦[得瑟]！8大金牌特权抢鲜体验，速来围观吧！http://t.cn/zYA0DI0	“[”不是一个命名实体
为了去晓庄看炸桥喂也为了方便明天上课，今晚就暂住在小姨家啦，我弟给我讲各种历史的故事和典故，小小年纪懂的好多，给个赞爱你	“晓庄”是一个地名实体
为了去晓庄看炸桥喂也为了方便明天上课，今晚就暂住在小姨家啦，我弟给我讲各种历史的故事和典故，小小年纪懂的好多，给个赞爱你	“明天”不是一个命名实体
哈哈哈哈哈哈吃布丁的维尼熊没兴趣，起来，我不厚道的笑了宋晚晚起开哈哈	“维尼熊”是一个人名实体
哈哈哈哈哈哈吃布丁的维尼熊没兴趣，起来，我不厚道的笑了宋晚晚起开哈哈	“宋晚晚”是一个人名实体
哈哈哈哈哈哈吃布丁的维尼熊没兴趣，起来，我不厚道的笑了宋晚晚起开哈哈	“吃”不是一个命名实体
哈哈哈哈哈哈吃布丁的维尼熊没兴趣，起来，我不厚道的笑了宋晚晚起开哈哈	“起来”不是一个命名实体
//@星座宝典:超简单的蝴蝶结DIY，姐妹们学起来[跳舞花]@潮饰女王	“星座宝典”是一个人名实体
//@星座宝典:超简单的蝴蝶结DIY，姐妹们学起来[跳舞花]@潮饰女王	“蝴蝶”不是一个命名实体
感谢兔兔，感谢圆圆，感谢佳佳。感谢我们的相遇，有一张照片不能放上来，我会把它锁进属于我们回忆的相册里。这次缺了小右，期待下次五人帮的大团聚。❤️	“兔兔”是一个人名实体
感谢兔兔，感谢圆圆，感谢佳佳。感谢我们的相遇，有一张照片不能放上来，我会把它锁进属于我们回忆的相册里。这次缺了小右，期待下次五人帮的大团聚。❤️	“圆圆”是一个人名实体
感谢兔兔，感谢圆圆，感谢佳佳。感谢我们的相遇，有一张照片不能放上来，我会把它锁进属于我们回忆的相册里。这次缺了小右，期待下次五人帮的大团聚。❤️	“佳佳”是一个人名实体
感谢兔兔，感谢圆圆，感谢佳佳。感谢我们的相遇，有一张照片不能放上来，我会把它锁进属于我们回忆的相册里。这次缺了小右，期待下次五人帮的大团聚。❤️	“感谢”不是一个命名实体
感谢兔兔，感谢圆圆，感谢佳佳。感谢我们的相遇，有一张照片不能放上来，我会把它锁进属于我们回忆的相册里。这次缺了小右，期待下次五人帮的大团聚。❤️	“佳”不是一个命名实体
感谢兔兔，感谢圆圆，感谢佳佳。感谢我们的相遇，有一张照片不能放上来，我会把它锁进属于我们回忆的相册里。这次缺了小右，期待下次五人帮的大团聚。❤️	“不”不是一个命名实体
妈妈们节日快乐丫曾若彤爱你爱你爱你	“曾若彤”是一个人名实体
妈妈们节日快乐丫曾若彤爱你爱你爱你	“快乐”不是一个命名实体
[哈哈]//@史上第一最最搞:慢点吃，不着急[嘻嘻]//@Shmily安安:……这尼玛才是吃货	“Shmily”是一个人名实体
[哈哈]//@史上第一最最搞:慢点吃，不着急[嘻嘻]//@Shmily安安:……这尼玛才是吃货	“这”不是一个命名实体
千年宁国，群星会聚!强大的视听盛宴!很赞!	“群星”不是一个命名实体
天啊，上月花了这么多钱，[泪]叫我怎么还款啊[衰]	“[”不是一个命名实体
詹姆斯11，lbj11黑红，全新原盒国内公司货，码数齐全。[嘻嘻]	“詹姆斯”是一个人名实体
詹姆斯11，lbj11黑红，全新原盒国内公司货，码数齐全。[嘻嘻]	“lbj11”不是一个命名实体
哈哈撒比啊我了个榴莲少女陈伊琼夏邦都好像在你那儿看到过。神秘震惊事件这个经典红唇让你想到谁？兔子	“撒比”是一个人名实体
哈哈撒比啊我了个榴莲少女陈伊琼夏邦都好像在你那儿看到过。神秘震惊事件这个经典红唇让你想到谁？兔子	“陈伊琼”是一个人名实体
哈哈撒比啊我了个榴莲少女陈伊琼夏邦都好像在你那儿看到过。神秘震惊事件这个经典红唇让你想到谁？兔子	“夏邦”是一个人名实体
哈哈撒比啊我了个榴莲少女陈伊琼夏邦都好像在你那儿看到过。神秘震惊事件这个经典红唇让你想到谁？兔子	“撒”不是一个命名实体
哈哈撒比啊我了个榴莲少女陈伊琼夏邦都好像在你那儿看到过。神秘震惊事件这个经典红唇让你想到谁？兔子	“了”不是一个命名实体
哈哈撒比啊我了个榴莲少女陈伊琼夏邦都好像在你那儿看到过。神秘震惊事件这个经典红唇让你想到谁？兔子	“过”不是一个命名实体
#影讯排排坐#奉俊昊执导的《雪国列车》今日曝光了首款中文海报和新版中文预告片，展现出强烈的科幻未来感及令人血脉喷张的视觉效果。据悉，影片有望年后引进中国内地。	“奉俊昊”是一个人名实体
#影讯排排坐#奉俊昊执导的《雪国列车》今日曝光了首款中文海报和新版中文预告片，展现出强烈的科幻未来感及令人血脉喷张的视觉效果。据悉，影片有望年后引进中国内地。	“中国”是一个地缘政治实体名实体
#影讯排排坐#奉俊昊执导的《雪国列车》今日曝光了首款中文海报和新版中文预告片，展现出强烈的科幻未来感及令人血脉喷张的视觉效果。据悉，影片有望年后引进中国内地。	“喷张”不是一个命名实体
#影讯排排坐#奉俊昊执导的《雪国列车》今日曝光了首款中文海报和新版中文预告片，展现出强烈的科幻未来感及令人血脉喷张的视觉效果。据悉，影片有望年后引进中国内地。	“内地”不是一个命名实体
此萌男身高，体重。西南广厦设计师，射手座♐。喜欢萌妹纸，那种大眼睛，皮肤白，会油画，可以萌软可以汉纸。她有一个名字叫做卢璐。认识的帮忙关注一下噢噜噜六六	“西南广厦设计师”是一个组织实体
此萌男身高，体重。西南广厦设计师，射手座♐。喜欢萌妹纸，那种大眼睛，皮肤白，会油画，可以萌软可以汉纸。她有一个名字叫做卢璐。认识的帮忙关注一下噢噜噜六六	“卢璐”是一个人名实体
此萌男身高，体重。西南广厦设计师，射手座♐。喜欢萌妹纸，那种大眼睛，皮肤白，会油画，可以萌软可以汉纸。她有一个名字叫做卢璐。认识的帮忙关注一下噢噜噜六六	“此萌”不是一个命名实体
此萌男身高，体重。西南广厦设计师，射手座♐。喜欢萌妹纸，那种大眼睛，皮肤白，会油画，可以萌软可以汉纸。她有一个名字叫做卢璐。认识的帮忙关注一下噢噜噜六六	“白”不是一个命名实体
帮推//@朱萧木:再推一次，就耽误您三分钟，对练英文也很有帮助，我准备背下来。//@朱萧木:非常牛逼的视频！讲清楚了这三个关于资本主义的流言。感谢@胥瑞琦翻译。弘扬自由意志主义，人人有责~	“朱萧木”是一个人名实体
帮推//@朱萧木:再推一次，就耽误您三分钟，对练英文也很有帮助，我准备背下来。//@朱萧木:非常牛逼的视频！讲清楚了这三个关于资本主义的流言。感谢@胥瑞琦翻译。弘扬自由意志主义，人人有责~	“朱萧木”是一个人名实体
帮推//@朱萧木:再推一次，就耽误您三分钟，对练英文也很有帮助，我准备背下来。//@朱萧木:非常牛逼的视频！讲清楚了这三个关于资本主义的流言。感谢@胥瑞琦翻译。弘扬自由意志主义，人人有责~	“个”不是一个命名实体
帮推//@朱萧木:再推一次，就耽误您三分钟，对练英文也很有帮助，我准备背下来。//@朱萧木:非常牛逼的视频！讲清楚了这三个关于资本主义的流言。感谢@胥瑞琦翻译。弘扬自由意志主义，人人有责~	“的”不是一个命名实体
我叫赵新民流哈子了。。。	“赵新民”是一个人名实体
我叫赵新民流哈子了。。。	“叫”不是一个命名实体
诗焱被骗了。。。心理学微小说一直以为是拼的。。。	“诗焱”是一个人名实体
诗焱被骗了。。。心理学微小说一直以为是拼的。。。	“拼”不是一个命名实体
#搜房会员独享优惠#感谢岁月让一只友谊的船，让我们找到了落帆的愿望，感谢小编微博的活动，让我找到了互动交友的家园；[给力]地址：http://t.cn/8kUaqGk	“小编微博”是一个组织实体
#搜房会员独享优惠#感谢岁月让一只友谊的船，让我们找到了落帆的愿望，感谢小编微博的活动，让我找到了互动交友的家园；[给力]地址：http://t.cn/8kUaqGk	“的”不是一个命名实体
#随手拍举报垃圾短信#[话筒]抵制垃圾短信，人人有责！我通过360手机卫士举报了11条垃圾短信，获得了"反垃圾义士LV3"的头衔~[得瑟]人人为我，我为人人！为了你我手机的安宁，赶快安装@360手机卫士，跟我一起举报垃圾短信吧！[心]下载地址：http://t.cn/zjzcTkg	“360”是一个组织实体
#随手拍举报垃圾短信#[话筒]抵制垃圾短信，人人有责！我通过360手机卫士举报了11条垃圾短信，获得了"反垃圾义士LV3"的头衔~[得瑟]人人为我，我为人人！为了你我手机的安宁，赶快安装@360手机卫士，跟我一起举报垃圾短信吧！[心]下载地址：http://t.cn/zjzcTkg	“360”是一个组织实体
#随手拍举报垃圾短信#[话筒]抵制垃圾短信，人人有责！我通过360手机卫士举报了11条垃圾短信，获得了"反垃圾义士LV3"的头衔~[得瑟]人人为我，我为人人！为了你我手机的安宁，赶快安装@360手机卫士，跟我一起举报垃圾短信吧！[心]下载地址：http://t.cn/zjzcTkg	“责”不是一个命名实体
#随手拍举报垃圾短信#[话筒]抵制垃圾短信，人人有责！我通过360手机卫士举报了11条垃圾短信，获得了"反垃圾义士LV3"的头衔~[得瑟]人人为我，我为人人！为了你我手机的安宁，赶快安装@360手机卫士，跟我一起举报垃圾短信吧！[心]下载地址：http://t.cn/zjzcTkg	“心”不是一个命名实体
在厦门吃港式晚茶！[害羞]又要胖了！[哼]@你和时光皆薄情@斯塔的纳维亚@你的声音躲在我耳朵里让我生病@连铭杰在春眠@春乐一直都在@黄多多麽@黄雅虹爱爱爱吃浪味仙@IRON-嘉乐@鹿丁@谢欣欣欣欣欣欣欣欣欣梅我在:http://t.cn/zHvlq22	“厦门”是一个地缘政治实体名实体
在厦门吃港式晚茶！[害羞]又要胖了！[哼]@你和时光皆薄情@斯塔的纳维亚@你的声音躲在我耳朵里让我生病@连铭杰在春眠@春乐一直都在@黄多多麽@黄雅虹爱爱爱吃浪味仙@IRON-嘉乐@鹿丁@谢欣欣欣欣欣欣欣欣欣梅我在:http://t.cn/zHvlq22	“斯塔的纳维亚”是一个人名实体
在厦门吃港式晚茶！[害羞]又要胖了！[哼]@你和时光皆薄情@斯塔的纳维亚@你的声音躲在我耳朵里让我生病@连铭杰在春眠@春乐一直都在@黄多多麽@黄雅虹爱爱爱吃浪味仙@IRON-嘉乐@鹿丁@谢欣欣欣欣欣欣欣欣欣梅我在:http://t.cn/zHvlq22	“连铭杰”是一个人名实体
在厦门吃港式晚茶！[害羞]又要胖了！[哼]@你和时光皆薄情@斯塔的纳维亚@你的声音躲在我耳朵里让我生病@连铭杰在春眠@春乐一直都在@黄多多麽@黄雅虹爱爱爱吃浪味仙@IRON-嘉乐@鹿丁@谢欣欣欣欣欣欣欣欣欣梅我在:http://t.cn/zHvlq22	“黄雅虹”是一个人名实体
在厦门吃港式晚茶！[害羞]又要胖了！[哼]@你和时光皆薄情@斯塔的纳维亚@你的声音躲在我耳朵里让我生病@连铭杰在春眠@春乐一直都在@黄多多麽@黄雅虹爱爱爱吃浪味仙@IRON-嘉乐@鹿丁@谢欣欣欣欣欣欣欣欣欣梅我在:http://t.cn/zHvlq22	“谢欣欣欣欣欣欣欣欣欣梅”是一个人名实体
在厦门吃港式晚茶！[害羞]又要胖了！[哼]@你和时光皆薄情@斯塔的纳维亚@你的声音躲在我耳朵里让我生病@连铭杰在春眠@春乐一直都在@黄多多麽@黄雅虹爱爱爱吃浪味仙@IRON-嘉乐@鹿丁@谢欣欣欣欣欣欣欣欣欣梅我在:http://t.cn/zHvlq22	“纳维亚”不是一个命名实体
在厦门吃港式晚茶！[害羞]又要胖了！[哼]@你和时光皆薄情@斯塔的纳维亚@你的声音躲在我耳朵里让我生病@连铭杰在春眠@春乐一直都在@黄多多麽@黄雅虹爱爱爱吃浪味仙@IRON-嘉乐@鹿丁@谢欣欣欣欣欣欣欣欣欣梅我在:http://t.cn/zHvlq22	“@”不是一个命名实体
在厦门吃港式晚茶！[害羞]又要胖了！[哼]@你和时光皆薄情@斯塔的纳维亚@你的声音躲在我耳朵里让我生病@连铭杰在春眠@春乐一直都在@黄多多麽@黄雅虹爱爱爱吃浪味仙@IRON-嘉乐@鹿丁@谢欣欣欣欣欣欣欣欣欣梅我在:http://t.cn/zHvlq22	“春眠”不是一个命名实体
在厦门吃港式晚茶！[害羞]又要胖了！[哼]@你和时光皆薄情@斯塔的纳维亚@你的声音躲在我耳朵里让我生病@连铭杰在春眠@春乐一直都在@黄多多麽@黄雅虹爱爱爱吃浪味仙@IRON-嘉乐@鹿丁@谢欣欣欣欣欣欣欣欣欣梅我在:http://t.cn/zHvlq22	“味仙”不是一个命名实体
在厦门吃港式晚茶！[害羞]又要胖了！[哼]@你和时光皆薄情@斯塔的纳维亚@你的声音躲在我耳朵里让我生病@连铭杰在春眠@春乐一直都在@黄多多麽@黄雅虹爱爱爱吃浪味仙@IRON-嘉乐@鹿丁@谢欣欣欣欣欣欣欣欣欣梅我在:http://t.cn/zHvlq22	“欣欣梅”不是一个命名实体
武汉学院心理咨询中心预祝广播台演出活动圆满成功	“武汉学院”是一个组织实体
武汉学院心理咨询中心预祝广播台演出活动圆满成功	“活动”不是一个命名实体
我叫赵新民是不是很有爱啊疯狂世界我爱你你会说话？	“赵新民”是一个人名实体
我叫赵新民是不是很有爱啊疯狂世界我爱你你会说话？	“啊”不是一个命名实体
张歆艺太难啦泪泪泪哈哈哈哈	“张歆艺”是一个人名实体
张歆艺太难啦泪泪泪哈哈哈哈	“哈哈”不是一个命名实体
【七夕真情大放送，平板电脑等你拿】真心求中奖啊~~~~w地址：http://event.weibo.com/1072288	“~”不是一个命名实体
#2014许冠杰上海演唱会0元抢票活动#[笑哈哈]大力支持来了，希望好运，希望我能够等到博主的青睐，能够得到这份礼物，我会感恩滴。[给力]	“许冠杰”是一个人名实体
#2014许冠杰上海演唱会0元抢票活动#[笑哈哈]大力支持来了，希望好运，希望我能够等到博主的青睐，能够得到这份礼物，我会感恩滴。[给力]	“上海”是一个地缘政治实体名实体
#2014许冠杰上海演唱会0元抢票活动#[笑哈哈]大力支持来了，希望好运，希望我能够等到博主的青睐，能够得到这份礼物，我会感恩滴。[给力]	“抢”不是一个命名实体
#2014许冠杰上海演唱会0元抢票活动#[笑哈哈]大力支持来了，希望好运，希望我能够等到博主的青睐，能够得到这份礼物，我会感恩滴。[给力]	“青睐”不是一个命名实体
只有亲身经历的人才能够体会时尚女性没有什么能够真正感同身受	“女性”不是一个命名实体
有奖竞猜哦，哪两种蔬菜有手机？酷	“两”不是一个命名实体
我叫赵新民全球最热门视频呃，期待下一篇。。。	“赵新民”是一个人名实体
我叫赵新民全球最热门视频呃，期待下一篇。。。	“篇”不是一个命名实体
